Company_ID,Domain,Founding_Year,Country,City,Funding_Stage,Total_Funding_USD_Millions,Valuation_USD_Millions,Revenue_ARR_Millions,Monthly_Burn_Rate_Millions,Runway_Months_2024,Peak_Headcount_2023,Layoffs_2024_2025,Current_Headcount_2026,Investor_Tier,AI_Adoption_Level,Acquisition_Status
21AB7B52,Generative AI,2018,India,Delhi NCR,Series B,71.56,537.21,23.86,4.41,15.9,330,0,330,Tier 3 (Angel/Seed),High,Closed
286A78B9,SpaceTech,2021,USA,Austin,Series B,48.4,313.33,32.7,6.03,7.9,310,0,310,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
6437E24A,HealthTech,2013,China,Hangzhou,Pre-IPO,177.08,1886.47,103.93,12.94,13.6,654,168,486,Tier 3 (Angel/Seed),High,Closed
7463FAA4,SpaceTech,2019,China,Shenzhen,Seed,2.4,29.82,1.19,0.24,7.1,12,0,12,Tier 3 (Angel/Seed),High,Independent
0354E5FD,Generative AI,2021,USA,San Francisco,Series B,68.73,347.1,27.46,1.4,45.8,107,0,107,Tier 3 (Angel/Seed),None,Independent
582A8916,Robotics,2017,Germany,Berlin,Seed,2.2,22.92,0.83,0.11,10.5,10,0,10,Tier 3 (Angel/Seed),Medium,Independent
A5B0735D,Generative AI,2013,USA,Miami,Series B,72.19,711.72,28.99,4.82,14.7,266,0,266,Tier 3 (Angel/Seed),High,Independent
526B2FDF,EdTech,2021,UK,Cambridge,Seed,0.54,22.06,1.05,0.65,0.7,38,0,38,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent
BD7E93B7,Robotics,2021,USA,Austin,Series A,9.02,44.66,1.63,0.71,11.1,43,22,21,Corporate VC (e.g. Google Ventures),Low,Closed
6613EB6A,SpaceTech,2021,USA,Boston,Series A,30.82,194.92,9.07,1.65,17.6,144,0,144,Tier 2 (Mid-size VC),None,Acquired
ED1D74E6,Generative AI,2023,UK,Cambridge,Series A,15.24,84.47,3.38,1.04,13.4,57,0,57,Corporate VC (e.g. Google Ventures),Medium,Closed
FE09E8E6,Robotics,2015,USA,Seattle,Series A,6.05,63.0,4.11,0.84,6.4,53,0,53,Tier 3 (Angel/Seed),None,Closed
F58EFC23,ClimateTech,2014,Germany,Munich,Series A,6.4,35.01,4.58,0.55,9.8,42,0,42,Tier 2 (Mid-size VC),High,Independent
2888CA10,FinTech,2020,Germany,Berlin,Post-IPO,413.31,1714.14,167.08,15.95,25.8,1048,0,1048,Tier 2 (Mid-size VC),Medium,Closed
4B301569,HealthTech,2020,USA,New York,Series A,3.01,29.53,2.8,0.38,6.3,36,0,36,Tier 3 (Angel/Seed),Medium,Independent
F0DE09DB,Generative AI,2021,USA,Austin,Series C+,186.56,858.82,41.54,9.63,19.2,731,0,731,Tier 2 (Mid-size VC),High,Independent
596C28F7,HealthTech,2019,USA,Miami,Seed,2.52,29.39,5.16,0.9,2.5,55,0,55,"Tier 1 (e.g. Sequoia, a16z)",High,Closed
E3F5B1DC,HealthTech,2020,UK,London,Series B,24.02,255.65,34.18,1.42,15.8,93,0,93,Tier 2 (Mid-size VC),Medium,Closed
50F810D9,FinTech,2022,USA,Boston,Seed,0.73,25.25,2.75,0.1,3.6,8,0,8,Tier 2 (Mid-size VC),High,Closed
88C5E2FD,SpaceTech,2020,USA,New York,Series A,34.18,289.01,10.7,1.29,24.6,79,0,79,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
98E4BD02,Cybersecurity,2021,China,Beijing,Series A,14.5,176.42,11.59,0.75,17.1,39,0,39,Tier 3 (Angel/Seed),High,Independent
FCF438CC,FinTech,2019,Canada,Toronto,Series B,39.25,401.7,25.76,2.92,13.0,206,50,156,Corporate VC (e.g. Google Ventures),High,Acquired
413D3C9D,FinTech,2021,USA,Austin,Seed,0.85,19.18,1.38,0.25,2.4,23,0,23,Tier 2 (Mid-size VC),Medium,Independent
6270C6DF,Cybersecurity,2020,UK,London,Pre-IPO,31.05,131.4,14.61,1.7,17.2,126,0,126,Tier 3 (Angel/Seed),None,Acquired
CB2E0A24,FinTech,2021,China,Shenzhen,Series C+,50.85,306.97,27.93,3.42,14.4,240,108,132,Tier 3 (Angel/Seed),Medium,Independent
B4414591,FinTech,2019,USA,San Francisco,Seed,2.09,36.02,3.98,0.44,3.9,24,0,24,Tier 3 (Angel/Seed),Medium,Independent
A1DA5B26,Generative AI,2016,Canada,Vancouver,Series C+,330.0,3666.57,206.34,28.69,11.5,2038,876,1162,Tier 2 (Mid-size VC),High,Independent
ADFAF6E1,HealthTech,2021,Israel,Jerusalem,Seed,6.6,69.1,2.44,0.38,13.8,25,0,25,Tier 2 (Mid-size VC),High,Independent
80FF80CF,FinTech,2019,USA,Miami,Series A,3.29,22.43,0.88,0.38,6.9,23,15,8,Corporate VC (e.g. Google Ventures),Medium,Closed
C2D09DC7,FinTech,2021,USA,New York,Seed,0.3,14.16,0.64,0.51,0.5,33,13,20,Tier 3 (Angel/Seed),None,Independent
18D00B2B,Web3/Crypto,2018,China,Shanghai,Series C+,0.0,43.97,1.75,0.26,0.0,21,12,9,Bootstrapped,Low,Closed
A974F6C8,SpaceTech,2022,USA,San Francisco,Seed,1.76,28.44,1.04,0.09,9.3,7,2,5,Tier 3 (Angel/Seed),None,Independent
363CAD95,Generative AI,2021,USA,New York,Series A,25.56,312.58,10.44,1.86,13.0,170,53,117,Tier 2 (Mid-size VC),High,Independent
09130D8C,FinTech,2016,China,Hangzhou,Series C+,0.0,47.61,3.72,0.3,0.0,17,0,17,Bootstrapped,Medium,Independent
832537F8,FinTech,2016,UK,London,Seed,7.8,93.85,3.53,0.46,13.9,25,5,20,Tier 2 (Mid-size VC),Medium,Closed
67E49014,Generative AI,2016,USA,Seattle,Series C+,113.79,410.37,16.1,12.95,8.7,661,375,286,Tier 3 (Angel/Seed),High,Closed
D1B334B4,Generative AI,2021,Canada,Toronto,Pre-IPO,292.11,1785.14,70.88,11.46,25.3,946,0,946,Tier 2 (Mid-size VC),Low,Independent
4E7077FA,Generative AI,2023,USA,Miami,Series A,20.9,105.34,3.61,1.39,14.0,73,0,73,Tier 2 (Mid-size VC),Low,Independent
15F081D0,HealthTech,2023,China,Shanghai,Series A,7.33,45.33,8.8,0.65,9.8,40,0,40,Tier 3 (Angel/Seed),Medium,Independent
66E4C7F0,Cybersecurity,2020,India,Mumbai,Seed,0.99,22.14,0.76,0.65,1.3,37,0,37,Corporate VC (e.g. Google Ventures),High,Independent
FC51B52E,Autonomous Vehicles,2019,USA,Boston,Seed,1.18,25.72,1.94,0.31,2.9,25,0,25,Tier 3 (Angel/Seed),High,Independent
2AD05059,FinTech,2019,USA,New York,Post-IPO,474.15,4853.29,274.81,35.63,13.3,1894,304,1590,"Tier 1 (e.g. Sequoia, a16z)",None,Independent
3EAAFB21,SpaceTech,2016,USA,Boston,Series A,3.46,38.53,1.42,0.62,4.8,39,0,39,Tier 2 (Mid-size VC),High,Closed
A1964D5D,Generative AI,2019,India,Mumbai,Series C+,466.8,3070.89,133.48,20.05,23.2,1681,0,1681,Tier 3 (Angel/Seed),None,Independent
803E6194,Web3/Crypto,2020,Germany,Munich,Series A,14.35,140.35,16.39,0.65,19.1,35,15,20,Corporate VC (e.g. Google Ventures),High,Independent
9708AB97,HealthTech,2022,USA,New York,Series B,27.55,254.97,11.57,1.75,14.9,109,25,84,Tier 3 (Angel/Seed),High,Independent
602763A4,Cybersecurity,2019,India,Mumbai,Series B,132.81,922.52,83.42,3.79,34.1,190,0,190,Tier 3 (Angel/Seed),High,Independent
E179BFFC,ClimateTech,2019,India,Delhi NCR,Series B,15.17,112.2,5.2,1.17,11.9,63,0,63,Tier 3 (Angel/Seed),Medium,Independent
C4BF93EF,Web3/Crypto,2019,China,Shenzhen,Series B,18.08,148.34,17.35,0.57,27.0,50,0,50,Tier 2 (Mid-size VC),Medium,Independent
ED62F87A,Robotics,2021,India,Hyderabad,Series A,5.82,42.65,1.57,0.35,12.9,30,5,25,Tier 3 (Angel/Seed),High,Acquired
9051C81A,Robotics,2021,USA,San Francisco,Seed,0.38,15.83,0.69,0.39,0.8,20,9,11,Tier 3 (Angel/Seed),Medium,Independent
87E566CD,Web3/Crypto,2023,Germany,Berlin,Series A,20.83,183.52,6.3,0.7,26.0,53,0,53,Tier 3 (Angel/Seed),Medium,Closed
7D8B1298,ClimateTech,2022,Canada,Vancouver,Post-IPO,725.02,6225.76,553.23,32.41,22.3,2177,0,2177,Tier 2 (Mid-size VC),Low,Independent
CEA7D446,FinTech,2018,China,Shenzhen,Seed,0.0,44.59,4.88,0.61,0.0,48,32,16,Bootstrapped,High,Closed
9D4C0377,Generative AI,2020,USA,Miami,Series C+,787.93,7626.57,321.21,31.41,25.0,1840,0,1840,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
ADAFFEA5,FinTech,2020,China,Hangzhou,Seed,8.58,111.18,4.32,0.57,12.8,36,0,36,Tier 3 (Angel/Seed),None,Independent
3AD535B6,SpaceTech,2020,USA,Boston,Pre-IPO,0.0,36.89,1.98,0.19,0.0,10,4,6,Bootstrapped,High,Independent
DC29F2F5,HealthTech,2019,Germany,Berlin,Series A,3.05,31.67,2.64,0.4,6.1,23,0,23,Tier 3 (Angel/Seed),High,Independent
B7946507,Cybersecurity,2020,China,Shanghai,Seed,0.39,21.29,1.18,0.38,0.8,28,9,19,Corporate VC (e.g. Google Ventures),Medium,IPO
DE6BCB2E,Cybersecurity,2017,USA,San Francisco,Series A,10.52,140.01,7.97,0.76,12.2,64,0,64,Tier 2 (Mid-size VC),High,Independent
7A58D7A4,Generative AI,2016,France,Paris,Seed,10.83,104.19,3.95,0.4,21.7,26,0,26,Tier 2 (Mid-size VC),Low,Independent
5A4D6401,Web3/Crypto,2021,India,Delhi NCR,Series B,14.03,127.36,5.36,0.87,14.5,44,0,44,Tier 3 (Angel/Seed),High,Independent
B4A7C3C4,Autonomous Vehicles,2020,USA,New York,Seed,1.09,17.83,0.72,0.46,1.9,34,0,34,Tier 2 (Mid-size VC),Medium,Acquired
CB1F89FE,FinTech,2020,USA,San Francisco,Seed,2.0,28.99,1.12,0.39,4.1,21,8,13,Tier 2 (Mid-size VC),None,Independent
CFA2187E,HealthTech,2023,UK,Cambridge,Series B,32.28,196.03,11.93,1.01,29.1,67,0,67,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent
9692B168,ClimateTech,2020,India,Mumbai,Pre-IPO,326.86,2696.0,234.25,20.13,16.2,1067,0,1067,Tier 3 (Angel/Seed),High,Closed
3E1931BF,FinTech,2020,USA,New York,Seed,0.0,42.66,1.88,0.23,0.0,16,0,16,Bootstrapped,High,Independent
8CD25682,Generative AI,2022,Germany,Munich,Seed,0.0,43.3,2.25,0.3,0.0,25,0,25,Bootstrapped,None,Acquired
91C3D5E0,HealthTech,2022,USA,San Francisco,Seed,2.69,36.37,1.41,0.53,4.3,35,16,19,Tier 3 (Angel/Seed),Low,Independent
0CB67CD9,Robotics,2014,USA,Boston,Series A,7.07,51.11,2.75,0.59,10.2,33,0,33,Tier 2 (Mid-size VC),High,Independent
B672E55D,ClimateTech,2019,Canada,Vancouver,Series B,57.4,647.68,34.4,4.91,11.5,392,121,271,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
9CA5C765,HealthTech,2018,Israel,Jerusalem,Seed,0.38,9.07,0.47,0.36,0.8,28,0,28,Tier 3 (Angel/Seed),Medium,Independent
C9A41C2F,Generative AI,2018,Singapore,Singapore,Series C+,0.0,47.97,1.8,0.17,0.0,10,0,10,Bootstrapped,High,Independent
3540BF0D,EdTech,2014,USA,Boston,Seed,0.96,18.15,0.79,0.34,2.2,32,0,32,Tier 3 (Angel/Seed),Medium,Independent
33404960,HealthTech,2019,Israel,Tel Aviv,Series A,30.41,287.1,21.79,1.6,17.9,89,4,85,Corporate VC (e.g. Google Ventures),Low,Acquired
4F2626B1,ClimateTech,2022,India,Delhi NCR,Series A,34.84,126.0,4.51,2.31,14.5,158,0,158,Tier 2 (Mid-size VC),Medium,Closed
12253574,FinTech,2021,USA,Miami,Pre-IPO,112.55,831.44,59.01,5.76,19.2,310,0,310,Tier 3 (Angel/Seed),High,Independent
1FFF2E7C,Cybersecurity,2013,Israel,Tel Aviv,Pre-IPO,50.41,384.96,35.45,1.8,26.5,116,0,116,Tier 3 (Angel/Seed),Medium,Independent
E927918B,HealthTech,2014,Germany,Munich,Seed,5.08,74.2,2.82,0.53,8.1,38,0,38,Tier 2 (Mid-size VC),High,Independent
